number, name, team
182, HARDY Romain, Arkéa-Samsic
183, LEDANOIS Kévin, Arkéa-Samsic
184, LOUVEL Matis, Arkéa-Samsic
185, OWSIAN Łukasz, Arkéa-Samsic
186, PICHON Laurent, Arkéa-Samsic
187, RIOU Alan, Arkéa-Samsic
191, YATES Simon, Team BikeExchange
192, BAUER Jack, Team BikeExchange
193, BOOKWALTER Brent, Team BikeExchange
194, JUUL-JENSEN Christopher, Team BikeExchange
195, PEÁK Barnabás, Team BikeExchange
196, SCHULTZ Nick, Team BikeExchange
197, STANNARD Robert, Team BikeExchange
201, BARDET Romain, Team DSM
202, ARENSMAN Thymen, Team DSM
203, COMBAUD Romain, Team DSM
204, HAMILTON Chris, Team DSM
205, NIEUWENHUIS Joris, Team DSM
206, TUSVELD Martijn, Team DSM
207, VERMAERKE Kevin, Team DSM
211, CLARKE Simon, Team Qhubeka-Assos
212, GOGL Michael, Team Qhubeka-Assos
213, LINDEMAN Bert-Jan, Team Qhubeka-Assos
214, POWER Robert, Team Qhubeka-Assos
215, SCHMID Mauro, Team Qhubeka-Assos
216, VACEK Karel, Team Qhubeka-Assos
217, VINJEBO Emil, Team Qhubeka-Assos
221, BRAMBILLA Gianluca, Trek-Segafredo
222, CONCI Nicola, Trek-Segafredo
223, GHEBREIGZABHIER Amanuel, Trek-Segafredo
224, MOLLEMA Bauke, Trek-Segafredo
225, NIBALI Antonio, Trek-Segafredo
226, SIMMONS Quinn, Trek-Segafredo
227, SKUJIŅŠ Toms, Trek-Segafredo
231, POGAČAR Tadej, UAE Team Emirates
232, CONTI Valerio, UAE Team Emirates
233, FORMOLO Davide, UAE Team Emirates
234, LAENGEN Vegard Stake, UAE Team Emirates
235, MARCATO Marco, UAE Team Emirates
236, POLANC Jan, UAE Team Emirates
237, RIABUSHENKO Alexandr, UAE Team Emirates
241, BERTAZZO Liam, Vini Zabù
242, BEVILACQUA Mattia, Vini Zabù
243, DI RENZO Andrea, Vini Zabù
244, FRAPPORTI Marco, Vini Zabù
245, GRADEK Kamil, Vini Zabù
246, ORRICO Davide, Vini Zabù
247, PETELIN Jan, Vini Zabù
