number, name, team
138,SWIFT Connor,Team Arkéa Samsic
DS: HINAULT Sébastien,LEDANOIS Yvon,,Team Arkéa Samsic
141,KRAGH ANDERSEN Søren,Team DSM
142,BENOOT Tiesj,Team DSM
143,BOL Cees,Team DSM
144,DONOVAN Mark,Team DSM
145,EEKHOFF Nils,Team DSM
146,NIEUWENHUIS Joris,Team DSM
147,PEDERSEN Casper,Team DSM
148,SÜTTERLIN Jasha,Team DSM
DS: ROBERTS Luke,REEF Marc,,Team DSM
151,EWAN Caleb,Lotto Soudal
152,DE BUYST Jasper,Lotto Soudal
153,DE GENDT Thomas,Lotto Soudal
154,GILBERT Philippe,Lotto Soudal
155,KLUGE Roger,Lotto Soudal
156,SWEENY Harry,Lotto Soudal
157,VAN DER SANDE Tosh,Lotto Soudal
158,VAN MOER Brent,Lotto Soudal
DS: FRISON Herman,AERTS Mario,,Lotto Soudal
161,HAIG Jack,Bahrain - Victorious
162,BILBAO Pello,Bahrain - Victorious
163,COLBRELLI Sonny,Bahrain - Victorious
164,HALLER Marco,Bahrain - Victorious
165,MOHORIČ Matej,Bahrain - Victorious
166,POELS Wout,Bahrain - Victorious
167,TEUNS Dylan,Bahrain - Victorious
168,WRIGHT Fred,Bahrain - Victorious
DS: ALDAG Rolf,FLORENCIO Xavier,,Bahrain - Victorious
171,MATTHEWS Michael,Team BikeExchange
172,CHAVES Esteban,Team BikeExchange
173,DURBRIDGE Luke,Team BikeExchange
174,HAMILTON Lucas,Team BikeExchange
175,JANSEN Amund Grøndahl,Team BikeExchange
176,JUUL-JENSEN Christopher,Team BikeExchange
177,MEZGEC Luka,Team BikeExchange
178,YATES Simon,Team BikeExchange
DS: HAYMAN Mathew,MCPARTLAND David,SMITH Andrew,WHITE Matthew,,Team BikeExchange
181,FUGLSANG Jakob,Astana - Premier Tech
182,ARANBURU Alex,Astana - Premier Tech
183,DE BOD Stefan,Astana - Premier Tech
184,FRAILE Omar,Astana - Premier Tech
185,GRUZDEV Dmitriy,Astana - Premier Tech
186,HOULE Hugo,Astana - Premier Tech
187,IZAGIRRE Ion,Astana - Premier Tech
188,LUTSENKO Alexey,Astana - Premier Tech
DS: FOFONOV Dmitriy,BAUER Steve,,Astana - Premier Tech
191,HENAO Sergio,Team Qhubeka NextHash
192,BARBERO Carlos,Team Qhubeka NextHash
193,BENNETT Sean,Team Qhubeka NextHash
194,CAMPENAERTS Victor,Team Qhubeka NextHash
195,CLARKE Simon,Team Qhubeka NextHash
196,DLAMINI Nic,Team Qhubeka NextHash
197,GOGL Michael,Team Qhubeka NextHash
198,WALSCHEID Max,Team Qhubeka NextHash
DS: MICHAELSEN Lars,MISSAGLIA Gabriele,VANOUDENHOVE Gino,,Team Qhubeka NextHash
201,LATOUR Pierre,Team TotalEnergies
202,BOASSON HAGEN Edvald,Team TotalEnergies
203,CABOT Jérémy,Team TotalEnergies
204,DE LA PARTE Víctor,Team TotalEnergies
205,DOUBEY Fabien,Team TotalEnergies
206,RODRÍGUEZ Cristián,Team TotalEnergies
207,SIMON Julien,Team TotalEnergies
208,TURGIS Anthony,Team TotalEnergies
DS: GENAUZEAU Benoit,LEBRETON Lylian,,Team TotalEnergies
211,MEINTJES Louis,Intermarché - Wanty - Gobert Matériaux
212,BAKELANTS Jan,Intermarché - Wanty - Gobert Matériaux
213,KOCH Jonas,Intermarché - Wanty - Gobert Matériaux
214,ROTA Lorenzo,Intermarché - Wanty - Gobert Matériaux
215,VAN POPPEL Boy,Intermarché - Wanty - Gobert Matériaux
216,VAN POPPEL Danny,Intermarché - Wanty - Gobert Matériaux
217,VLIEGEN Loïc,Intermarché - Wanty - Gobert Matériaux
218,ZIMMERMANN Georg,Intermarché - Wanty - Gobert Matériaux
DS: DE NEEF Steven,VAN DER SCHUEREN Hilaire,,Intermarché - Wanty - Gobert Matériaux
221,COQUARD Bryan,B&B Hotels p/b KTM
222,BARTHE Cyril,B&B Hotels p/b KTM
223,BONNAMOUR Franck,B&B Hotels p/b KTM
224,CHEVALIER Maxime,B&B Hotels p/b KTM
225,GAUTIER Cyril,B&B Hotels p/b KTM
226,LEMOINE Cyril,B&B Hotels p/b KTM
227,PACHER Quentin,B&B Hotels p/b KTM
228,ROLLAND Pierre,B&B Hotels p/b KTM
DS: ENGOULVENT Jimmy,BOLGIANI Yvonnick,,B&B Hotels p/b KTM
