number, name, team
154,MAAS Jan,Team BikeExchange - Jayco
155,MEZGEC Luka,Team BikeExchange - Jayco
,,Team BikeExchange - Jayco
,,Team BikeExchange - Jayco
DS: HAYMAN Mathew,HOFFMAN Tristan,,Team BikeExchange - Jayco
161,ALLEGAERT Piet,Cofidis
162,CIMOLAI Davide,Cofidis
163,DELETTRE Alexandre,Cofidis
164,FINÉ Eddy,Cofidis
165,RENARD Alexis,Cofidis
166,SAJNOK Szymon,Cofidis
167,VANBILSEN Kenneth,Cofidis
DS: DELOEUIL Alain,DAMIANI Roberto,,Cofidis
171,LANGEVELD Sebastian,EF Education-EasyPost
172,BISSEGGER Stefan,EF Education-EasyPost
173,DOULL Owain,EF Education-EasyPost
174,KEUKELEIRE Jens,EF Education-EasyPost
175,RUTSCH Jonas,EF Education-EasyPost
176,SCULLY Tom,EF Education-EasyPost
177,WIŚNIOWSKI Łukasz,EF Education-EasyPost
DS: KLIER Andreas,VANMARCKE Ken,,EF Education-EasyPost
181,TRENTIN Matteo,UAE Team Emirates
182,ACKERMANN Pascal,UAE Team Emirates
183,BRUNEL Alexys,UAE Team Emirates
184,GROß Felix,UAE Team Emirates
185,LAENGEN Vegard Stake,UAE Team Emirates
186,MOLANO Juan Sebastián,UAE Team Emirates
187,TROIA Oliviero,UAE Team Emirates
DS: BALDATO Fabio,MARCATO Marco,,UAE Team Emirates
191,HALVORSEN Kristoffer,Uno-X Pro Cycling Team
192,HANSEN Lasse Norman,Uno-X Pro Cycling Team
193,LEVY William Blume,Uno-X Pro Cycling Team
194,RESELL Erik Nordsæter,Uno-X Pro Cycling Team
195,SKAARSETH Anders,Uno-X Pro Cycling Team
196,TILLER Rasmus,Uno-X Pro Cycling Team
197,WÆRENSKJOLD Søren,Uno-X Pro Cycling Team
DS: ARVESEN Kurt-Asle,SNOEKS Leonard,,Uno-X Pro Cycling Team
201,GARCÍA CORTINA Iván,Movistar Team
202,ERVITI Imanol,Movistar Team
203,JACOBS Johan,Movistar Team
204,NORSGAARD Mathias,Movistar Team
205,KANTER Max,Movistar Team
206,LAZKANO Oier,Movistar Team
207,TORRES Albert,Movistar Team
DS: GARCÍA ACOSTA José Vicente,VILA Francisco Javier,,Movistar Team
211,BASSO Leonardo,Astana Qazaqstan Team
212,BOARO Manuele,Astana Qazaqstan Team
213,FEDOROV Yevgeniy,Astana Qazaqstan Team
214,GRUZDEV Dmitriy,Astana Qazaqstan Team
215,MARTINELLI Davide,Astana Qazaqstan Team
216,NIBALI Antonio,Astana Qazaqstan Team
217,RIABUSHENKO Alexandr,Astana Qazaqstan Team
DS: ZANINI Stefano,CUCINOTTA Claudio,,Astana Qazaqstan Team
221,LEMOINE Cyril,B&B Hotels - KTM
222,BARBIER Pierre,B&B Hotels - KTM
223,GOUGEARD Alexis,B&B Hotels - KTM
224,JAUREGUI Quentin,B&B Hotels - KTM
225,LECROQ Jérémy,B&B Hotels - KTM
226,MORICE Julien,B&B Hotels - KTM
227,MOZZATO Luca,B&B Hotels - KTM
DS: ENGOULVENT Jimmy,ROUS Didier,,B&B Hotels - KTM
231,LIVYNS Arjen,Bingoal Pauwels Sauces WB
232,ANIOŁKOWSKI Stanisław,Bingoal Pauwels Sauces WB
233,DUPONT Timothy,Bingoal Pauwels Sauces WB
234,LAUK Karl Patrick,Bingoal Pauwels Sauces WB
235,MENTEN Milan,Bingoal Pauwels Sauces WB
236,ROBEET Ludovic,Bingoal Pauwels Sauces WB
237,TIETEMA Bas,Bingoal Pauwels Sauces WB
DS: KAISEN Olivier,VANDENBROUCKE Jean-Denis,,Bingoal Pauwels Sauces WB
241,MARIT Arne,Sport Vlaanderen - Baloise
242,BRAET Vito,Sport Vlaanderen - Baloise
243,DE PESTEL Sander,Sport Vlaanderen - Baloise
244,REYNDERS Jens,Sport Vlaanderen - Baloise
245,VANHOOF Ward,Sport Vlaanderen - Baloise
246,VAN POUCKE Aaron,Sport Vlaanderen - Baloise
247,VAN ROOY Kenneth,Sport Vlaanderen - Baloise
DS: DE CLERCQ Hans,PLANCKAERT Walter,,Sport Vlaanderen - Baloise
