number, name, team
185,HONORÉ Mikkel Frølich,Quick-Step Alpha Vinyl Team
186,SÉNÉCHAL Florian,Quick-Step Alpha Vinyl Team
187,ŠTYBAR Zdeněk,Quick-Step Alpha Vinyl Team
191,BOUHANNI Nacer,Team Arkéa Samsic
192,BOUET Maxime,Team Arkéa Samsic
193,HARDY Romain,Team Arkéa Samsic
194,LEDANOIS Kévin,Team Arkéa Samsic
195,PICHON Laurent,Team Arkéa Samsic
196,RUSSO Clément,Team Arkéa Samsic
197,SWIFT Connor,Team Arkéa Samsic
201,MATTHEWS Michael,Team BikeExchange - Jayco
202,CRADDOCK Lawson,Team BikeExchange - Jayco
203,DURBRIDGE Luke,Team BikeExchange - Jayco
204,EDMONDSON Alex,Team BikeExchange - Jayco
205,KONYCHEV Alexander,Team BikeExchange - Jayco
206,MEYER Cameron,Team BikeExchange - Jayco
207,MEZGEC Luka,Team BikeExchange - Jayco
211,HAMILTON Chris,Team DSM
212,COMBAUD Romain,Team DSM
213,KRAGH ANDERSEN Søren,Team DSM
214,LEKNESSUND Andreas,Team DSM
215,NIEUWENHUIS Joris,Team DSM
216,TUSVELD Martijn,Team DSM
217,VERMAERKE Kevin,Team DSM
221,SAGAN Peter,TotalEnergies
222,BOASSON HAGEN Edvald,TotalEnergies
223,BODNAR Maciej,TotalEnergies
224,BONIFAZIO Niccolò,TotalEnergies
225,OSS Daniel,TotalEnergies
226,SIMON Julien,TotalEnergies
227,TURGIS Anthony,TotalEnergies
231,POGAČAR Tadej,UAE Team Emirates
232,COVI Alessandro,UAE Team Emirates
233,FORMOLO Davide,UAE Team Emirates
234,GIBBONS Ryan,UAE Team Emirates
235,POLANC Jan,UAE Team Emirates
236,TROIA Oliviero,UAE Team Emirates
237,ULISSI Diego,UAE Team Emirates
