number, name, team
184,CAVENDISH Mark,Quick-Step Alpha Vinyl Team
185,ČERNÝ Josef,Quick-Step Alpha Vinyl Team
186,EVENEPOEL Remco,Quick-Step Alpha Vinyl Team
187,HONORÉ Mikkel Frølich,Quick-Step Alpha Vinyl Team
191,BARGUIL Warren,Team Arkéa Samsic
192,BOUET Maxime,Team Arkéa Samsic
193,BOUHANNI Nacer,Team Arkéa Samsic
194,GUERNALEC Thibault,Team Arkéa Samsic
195,MCLAY Daniel,Team Arkéa Samsic
196,RIOU Alan,Team Arkéa Samsic
197,RUSSO Clément,Team Arkéa Samsic
201,MATTHEWS Michael,Team BikeExchange - Jayco
202,CRADDOCK Lawson,Team BikeExchange - Jayco
203,EDMONDSON Alex,Team BikeExchange - Jayco
204,GRMAY Tsgabu,Team BikeExchange - Jayco
205,GROVES Kaden,Team BikeExchange - Jayco
206,KONYCHEV Alexander,Team BikeExchange - Jayco
207,SOBRERO Matteo,Team BikeExchange - Jayco
211,BARDET Romain,Team DSM
212,ARENSMAN Thymen,Team DSM
213,ARNDT Nikias,Team DSM
214,DAINESE Alberto,Team DSM
215,HAMILTON Chris,Team DSM
216,NIEUWENHUIS Joris,Team DSM
217,TUSVELD Martijn,Team DSM
221,SAGAN Peter,TotalEnergies
222,BOASSON HAGEN Edvald,TotalEnergies
223,BODNAR Maciej,TotalEnergies
224,FERRON Valentin,TotalEnergies
225,OSS Daniel,TotalEnergies
226,RODRÍGUEZ Cristián,TotalEnergies
227,SIMON Julien,TotalEnergies
231,CICCONE Giulio,Trek - Segafredo
232,BRAMBILLA Gianluca,Trek - Segafredo
233,CATALDO Dario,Trek - Segafredo
234,MOSCHETTI Matteo,Trek - Segafredo
235,SIMMONS Quinn,Trek - Segafredo
236,SKUJIŅŠ Toms,Trek - Segafredo
237,THEUNS Edward,Trek - Segafredo
