number, name, team
1, VAN DER POEL Mathieu, Alpecin-Fenix
2, DE BONDT Dries, Alpecin-Fenix
3, DILLIER Silvan, Alpecin-Fenix
4, RICKAERT Jonas, Alpecin-Fenix
5, RIESEBEEK Oscar, Alpecin-Fenix
6, VERMEERSCH Gianni, Alpecin-Fenix
7, VERGAERDE Otto, Alpecin-Fenix
11, ALAPHILIPPE Julian, Deceuninck - Quick Step
12, ASGREEN Kasper, Deceuninck - Quick Step
13, BALLERINI Davide, Deceuninck - Quick Step
14, DECLERCQ Tim, Deceuninck - Quick Step
15, SÉNÉCHAL Florian, Deceuninck - Quick Step
16, LAMPAERT Yves, Deceuninck - Quick Step
17, VAN LERBERGHE Bert, Deceuninck - Quick Step
21, VAN AVERMAET Greg, AG2R Citroën Team
22, DEWULF Stan, AG2R Citroën Team
23, NAESEN Oliver, AG2R Citroën Team
24, NAESEN Lawrence, AG2R Citroën Team
25, SCHÄR Michael, AG2R Citroën Team
26, TOUZÉ Damien, AG2R Citroën Team
27, VAN HOECKE Gijs, AG2R Citroën Team
31, VAN AERT Wout, Team Jumbo-Visma
32, AFFINI Edoardo, Team Jumbo-Visma
33, DEKKER David, Team Jumbo-Visma
34, EENKHOORN Pascal, Team Jumbo-Visma
35, ROOSEN Timo, Team Jumbo-Visma
36, VAN HOOYDONCK Nathan, Team Jumbo-Visma
37, WYNANTS Maarten, Team Jumbo-Visma
41, DEGENKOLB John, Lotto Soudal
42, VAN DER SANDE Tosh, Lotto Soudal
43, KLUGE Roger, Lotto Soudal
44, FRISON Frederik, Lotto Soudal
45, VAN MOER Brent, Lotto Soudal
46, VERMEERSCH Florian, Lotto Soudal
47, WELLENS Tim, Lotto Soudal
51, STUYVEN Jasper, Trek - Segafredo
52, DE KORT Koen, Trek - Segafredo
53, REIJNEN Kiel, Trek - Segafredo
54, MULLEN Ryan, Trek - Segafredo
55, PEDERSEN Mads, Trek - Segafredo
56, SIMMONS Quinn, Trek - Segafredo
57, THEUNS Edward, Trek - Segafredo
61, SAGAN Peter, BORA - hansgrohe
62, BODNAR Maciej, BORA - hansgrohe
63, BURGHARDT Marcus, BORA - hansgrohe
64, OSS Daniel, BORA - hansgrohe
65, POLITT Nils, BORA - hansgrohe
66, PÖSTLBERGER Lukas, BORA - hansgrohe
67, GAMPER Patrick, BORA - hansgrohe
71, BETTIOL Alberto, EF Education - Nippo
72, BISSEGGER Stefan, EF Education - Nippo
73, VALGREN Michael, EF Education - Nippo
74, KEUKELEIRE Jens, EF Education - Nippo
75, LANGEVELD Sebastian, EF Education - Nippo
76, RUTSCH Jonas, EF Education - Nippo
77, SCULLY Tom, EF Education - Nippo
81, VANMARCKE Sep, Israel Start-Up Nation
82, BIERMANS Jenthe, Israel Start-Up Nation
83, HOFSTETTER Hugo, Israel Start-Up Nation
84, HOLLENSTEIN Reto, Israel Start-Up Nation
85, BOIVIN Guillaume, Israel Start-Up Nation
86, VAN ASBROECK Tom, Israel Start-Up Nation
87, RENARD Alexis, Israel Start-Up Nation
91, BENOOT Tiesj, Team DSM
92, DENZ Nico, Team DSM
93, EEKHOFF Nils, Team DSM
94, KRAGH ANDERSEN Søren, Team DSM
95, NIEUWENHUIS Joris, Team DSM
96, ARNDT Nikias, Team DSM
97, SÜTTERLIN Jasha, Team DSM
101,MATTHEWS Michael, Team BikeExchange
102,BAUER Jack, Team BikeExchange
103,DURBRIDGE Luke, Team BikeExchange
