number, name, team
163,MENTEN Milan,Bingoal Pauwels Sauces WB
164,WIRTGEN Tom,Bingoal Pauwels Sauces WB
165,PAQUOT Tom,Bingoal Pauwels Sauces WB
166,PEYSKENS Dimitri,Bingoal Pauwels Sauces WB
167,PAASSCHENS Mathijs,Bingoal Pauwels Sauces WB
DS: BRANDT Christophe,,Bingoal Pauwels Sauces WB
171,ORTS Felipe,Burgos-BH
172,BOL Jetse,Burgos-BH
173,EZQUERRA Jesús,Burgos-BH
174,MADRAZO Ángel,Burgos-BH
175,MOLENAAR Alex,Burgos-BH
176,PELEGRÍ Óscar,Burgos-BH
177,OKAMIKA Ander,Burgos-BH
DS: GARCIA Damien,,Burgos-BH
181,APERS Ruben,Sport Vlaanderen - Baloise
182,BERCKMOES Jenno,Sport Vlaanderen - Baloise
183,BRAET Vito,Sport Vlaanderen - Baloise
184,MARIT Arne,Sport Vlaanderen - Baloise
185,VAN POUCKE Aaron,Sport Vlaanderen - Baloise
186,VAN ROOY Kenneth,Sport Vlaanderen - Baloise
187,MERTENS Julian,Sport Vlaanderen - Baloise
DS: PLANCKAERT Walter,,Sport Vlaanderen - Baloise
191,BARGUIL Warren,Team Arkéa Samsic
192,ANACONA Winner,Team Arkéa Samsic
193,OWSIAN Łukasz,Team Arkéa Samsic
194,DECLERCQ Benjamin,Team Arkéa Samsic
195,NOPPE Christophe,Team Arkéa Samsic
196,PAJUR Markus,Team Arkéa Samsic
197,VAUQUELIN Kévin,Team Arkéa Samsic
DS: CAER Yvon,,Team Arkéa Samsic
201,ANDERSEN Idar,Uno-X Pro Cycling Team
202,HOLTER Ådne,Uno-X Pro Cycling Team
203,JOHANNESSEN Tobias Halland,Uno-X Pro Cycling Team
204,HINDSGAUL Jacob,Uno-X Pro Cycling Team
205,SLEEN Torjus,Uno-X Pro Cycling Team
206,TRÆEN Torstein,Uno-X Pro Cycling Team
207,GREGAARD Jonas,Uno-X Pro Cycling Team
DS: ANDERSEN Christian,,Uno-X Pro Cycling Team
