number, name, team
201,QUINTANA Nairo, Team Arkéa Samsic
202,DELAPLACE Anthony, Team Arkéa Samsic
203,OWSIAN Łukasz, Team Arkéa Samsic
204,LOUVEL Matis, Team Arkéa Samsic
205,PICHON Laurent, Team Arkéa Samsic
206,GESBERT Élie, Team Arkéa Samsic
207,RIOU Alan, Team Arkéa Samsic
211,ZAKARIN Ilnur, Gazprom - RusVelo
212,CHERNETSKI Sergei, Gazprom - RusVelo
213,KOCHETKOV Pavel, Gazprom - RusVelo
214,KREUZIGER Roman, Gazprom - RusVelo
215,NYCH Artem, Gazprom - RusVelo
216,STRAKHOV Dmitry, Gazprom - RusVelo
217,NEKRASOV Denis, Gazprom - RusVelo
221,ROSSKOPF Joey, Rally Cycling
222,MANNION Gavin, Rally Cycling
223,JOYCE Colin, Rally Cycling
224,KING Ben, Rally Cycling
225,ZUKOWSKY Nickolas, Rally Cycling
226,BROWN Nathan, Rally Cycling
227,BRITTON Rob, Rally Cycling
231,MARQUEZ Marti, Equipo Kern Pharma
232,CASTRILLO Jaime, Equipo Kern Pharma
233,GALVÁN Francisco, Equipo Kern Pharma
234,BERRADE Urko, Equipo Kern Pharma
235,NOVIKOV Savva, Equipo Kern Pharma
236,MENDEZ Daniel Alejandro, Equipo Kern Pharma
237,ADRIÀ Roger, Equipo Kern Pharma
241,MATÉ Luis Ángel, Euskaltel - Euskadi
242,SOTO Antonio Jesus, Euskaltel - Euskadi
243,BIZKARRA Mikel, Euskaltel - Euskadi
244,LOBATO Juan José, Euskaltel - Euskadi
245,BOU Joan, Euskaltel - Euskadi
246,ITURRIA Mikel, Euskaltel - Euskadi
247,MARTÍN Gotzon, Euskaltel - Euskadi
