number, name, team
158,VANHOUCKE Harm,Lotto Soudal
161,VALVERDE Alejandro,Movistar Team
162,ARCAS Jorge,Movistar Team
163,BARTA Will,Movistar Team
164,LAZKANO Oier,Movistar Team
165,PEDRERO Antonio,Movistar Team
166,ROJAS José Joaquín,Movistar Team
167,SAMITIER Sergio,Movistar Team
168,SOSA Iván Ramiro,Movistar Team
171,CAVENDISH Mark,Quick-Step Alpha Vinyl Team
172,BALLERINI Davide,Quick-Step Alpha Vinyl Team
173,KNOX James,Quick-Step Alpha Vinyl Team
174,MØRKØV Michael,Quick-Step Alpha Vinyl Team
175,SCHMID Mauro,Quick-Step Alpha Vinyl Team
176,SERRY Pieter,Quick-Step Alpha Vinyl Team
177,VAN LERBERGHE Bert,Quick-Step Alpha Vinyl Team
178,VANSEVENANT Mauri,Quick-Step Alpha Vinyl Team
181,YATES Simon,Team BikeExchange - Jayco
182,CRADDOCK Lawson,Team BikeExchange - Jayco
183,HAMILTON Lucas,Team BikeExchange - Jayco
184,HEPBURN Michael,Team BikeExchange - Jayco
185,HOWSON Damien,Team BikeExchange - Jayco
186,JUUL-JENSEN Christopher,Team BikeExchange - Jayco
187,SCOTSON Callum,Team BikeExchange - Jayco
188,SOBRERO Matteo,Team BikeExchange - Jayco
191,BARDET Romain,Team DSM
192,ARENSMAN Thymen,Team DSM
193,BOL Cees,Team DSM
194,COMBAUD Romain,Team DSM
195,DAINESE Alberto,Team DSM
196,DENZ Nico,Team DSM
197,HAMILTON Chris,Team DSM
198,TUSVELD Martijn,Team DSM
201,CICCONE Giulio,Trek - Segafredo
202,CATALDO Dario,Trek - Segafredo
203,SKJELMOSE JENSEN Mattias,Trek - Segafredo
204,LÓPEZ Juan Pedro,Trek - Segafredo
205,MOLLEMA Bauke,Trek - Segafredo
206,MOSCA Jacopo,Trek - Segafredo
207,THEUNS Edward,Trek - Segafredo
208,VERGAERDE Otto,Trek - Segafredo
211,ALMEIDA João,UAE Team Emirates
212,OLIVEIRA Rui,UAE Team Emirates
213,COSTA Rui,UAE Team Emirates
214,COVI Alessandro,UAE Team Emirates
215,FORMOLO Davide,UAE Team Emirates
216,GAVIRIA Fernando,UAE Team Emirates
217,RICHEZE Maximiliano,UAE Team Emirates
218,ULISSI Diego,UAE Team Emirates
