number, name, team
171,DÉMARE Arnaud, Groupama - FDJ
172,GENIETS Kevin, Groupama - FDJ
173,KÜNG Stefan, Groupama - FDJ
174,LE GAC Olivier, Groupama - FDJ
175,GUARNIERI Jacopo, Groupama - FDJ
176,LIENHARD Fabian, Groupama - FDJ
177,SINKELDAM Ramon, Groupama - FDJ
DS: BALDATO Fabio,, Groupama - FDJ
181,AMADOR Andrey, INEOS Grenadiers
182,DOULL Owain, INEOS Grenadiers
183,GOŁAŚ Michał, INEOS Grenadiers
,, INEOS Grenadiers
185,BASSO Leonardo, INEOS Grenadiers
186,VAN BAARLE Dylan, INEOS Grenadiers
187,WURF Cameron, INEOS Grenadiers
DS: KNAVEN Servais,, INEOS Grenadiers
191,BEULLENS Cédric, Sport Vlaanderen - Baloise
193,MARIT Arne, Sport Vlaanderen - Baloise
194,VAN DEN BOSSCHE Fabio, Sport Vlaanderen - Baloise
195,DE VYLDER Lindsay, Sport Vlaanderen - Baloise
196,WARLOP Jordi, Sport Vlaanderen - Baloise
197,WILLEMS Thimo, Sport Vlaanderen - Baloise
198,GHYS Robbe, Sport Vlaanderen - Baloise
DS: PLANCKAERT Walter,, Sport Vlaanderen - Baloise
201,PHILIPSEN Jasper, Alpecin-Fenix
202,MERLIER Tim, Alpecin-Fenix
203,DILLIER Silvan, Alpecin-Fenix
204,RICKAERT Jonas, Alpecin-Fenix
205,RIESEBEEK Oscar, Alpecin-Fenix
206,THWAITES Scott, Alpecin-Fenix
207,VERMEERSCH Gianni, Alpecin-Fenix
DS: ROODHOOFT Christoph,, Alpecin-Fenix
211,DUPONT Timothy, Bingoal Pauwels Sauces WB
212,CASTRIQUE Jonas, Bingoal Pauwels Sauces WB
213,REX Laurenz, Bingoal Pauwels Sauces WB
214,ROBEET Ludovic, Bingoal Pauwels Sauces WB
215,MENTEN Milan, Bingoal Pauwels Sauces WB
216,VANENDERT Jelle, Bingoal Pauwels Sauces WB
