number, name, team
155,BROWN Connor,Team Qhubeka ASSOS
156,JANSE VAN RENSBURG Reinardt,Team Qhubeka ASSOS
157,STOKBRO Andreas,Team Qhubeka ASSOS
DS: MISSAGLIA Gabriele,SANS VEGA Alexandre,,Team Qhubeka ASSOS
161,DEGENKOLB John,Lotto Soudal
162,CONCA Filippo,Lotto Soudal
163,KRON Andreas,Lotto Soudal
164,VERMEERSCH Florian,Lotto Soudal
165,VAN GILS Maxim,Lotto Soudal
166,VERSCHAEVE Viktor,Lotto Soudal
167,GOOSSENS Kobe,Lotto Soudal
DS: MAES Nikolas,VAN DE WOUWER Kurt,,Lotto Soudal
171,LATOUR Pierre,Team Total Direct Energie
172,DOUBEY Fabien,Team Total Direct Energie
173,BOASSON HAGEN Edvald,Team Total Direct Energie
174,DE LA PARTE Víctor,Team Total Direct Energie
175,SIMON Julien,Team Total Direct Energie
176,TURGIS Anthony,Team Total Direct Energie
177,VUILLERMOZ Alexis,Team Total Direct Energie
DS: GENAUZEAU Benoit,MACE Thibaut,,Team Total Direct Energie
181,BENOOT Tiesj,Team DSM
182,ARENSMAN Thymen,Team DSM
183,COMBAUD Romain,Team DSM
184,DONOVAN Mark,Team DSM
185,KRAGH ANDERSEN Søren,Team DSM
186,LEKNESSUND Andreas,Team DSM
187,SÜTTERLIN Jasha,Team DSM
DS: REEF Marc,WEST Philip,,Team DSM
191,URÁN Rigoberto,EF Education - Nippo
192,BISSEGGER Stefan,EF Education - Nippo
193,POWLESS Neilson,EF Education - Nippo
194,HOWES Alex,EF Education - Nippo
195,LANGEVELD Sebastian,EF Education - Nippo
196,RUTSCH Jonas,EF Education - Nippo
197,SCULLY Tom,EF Education - Nippo
DS: BRESCHEL Matti,GARATE Juan Manuel,,EF Education - Nippo
201,HIRT Jan,Intermarché - Wanty - Gobert Matériaux
202,LAMMERTINK Maurits,Intermarché - Wanty - Gobert Matériaux
203,PETILLI Simone,Intermarché - Wanty - Gobert Matériaux
204,PLANCKAERT Baptiste,Intermarché - Wanty - Gobert Matériaux
